name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
GSE13671_fd_scores-MWCS;backes;0;1;3917;133310;3916;955;0;3917;133310;3916;955;0;0.054;69.021268;69.021268;0.000000;3917;0;0;0.000;0.000;0.000;0.000;0.000;0.000;0;69.021268;69.021268;0.000000;166;4;1;335;2;161;3069;141124;0.168;0.002;0.231;0.326;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
GSE7930_RAW_scores-MWCS;backes;0;1;3917;133310;3915;655;0;3915;133286;3913;653;0;0.050;521.322476;521.322476;0.000000;3917;2;0;0.000;0.000;0.000;0.000;0.000;0.060;0;521.322476;521.322476;0.000000;3392;206;3;687;7;2021;45304;133354;0.478;0.002;0.693;0.695;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
HT116_24h_scores-MWCS;backes;0;1;3917;133310;3916;1206;0;3912;133290;3911;1201;0;0.067;699.353515;699.353515;0.000000;3917;4;0;0.000;0.000;0.000;0.000;0.000;0.142;0;699.353515;699.353515;0.000000;5396;256;5;2537;20;4054;47689;132720;0.398;0.002;0.715;0.718;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
HT116_8h_scores-MWCS;backes;0;1;3917;133310;3916;1221;0;3913;133293;3912;1217;0;0.070;589.944740;589.944740;0.000000;3917;3;0;0.000;0.000;0.000;0.000;0.000;0.117;0;589.944740;589.944740;0.000000;5804;212;4;1668;29;3533;45251;132273;0.368;0.002;0.664;0.667;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
HT-29_24h_scores-MWCS;backes;0;1;3917;133310;3916;1059;0;3913;133270;3912;1055;0;0.064;496.708935;504.335265;1.512155;3917;4;1;615.000;3355.000;327.000;327.000;30.000;0.144;1;504.335265;504.335265;0.000000;5959;420;10;2103;11;4555;48945;132311;0.354;0.002;0.669;0.675;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
HT-29_8h_scores-MWCS;backes;0;1;3917;133310;3915;880;0;3913;133270;3911;876;0;0.055;361.543815;361.543815;0.000000;3917;3;0;0.000;0.000;0.000;0.000;0.000;0.126;0;361.543815;361.543815;0.000000;3942;294;4;854;10;3928;48371;131832;0.376;0.002;0.660;0.663;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
