name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
GSE13671_fd_scores-MWCS;backes;0;1;3917;133310;3916;955;0;3917;133310;3916;955;0;0.002;69.021268;69.021268;0.000000;3917;3917;0;0.000;0.000;0.000;0.000;0.000;36.189;0;69.021268;69.021268;0.000000;1723;91;4;1555;11;440;39199;0;0.755;0.002;0.207;37.132;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
GSE7930_RAW_scores-MWCS;backes;0;1;3917;133310;3915;655;0;3915;133286;3913;653;0;0.004;521.322476;521.322476;0.000000;3917;3917;0;0.000;0.000;0.000;0.000;0.000;41.015;0;521.322476;521.322476;0.000000;4035;228;2;842;4;17316;44152;346;0.744;0.002;1.776;41.920;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
HT116_24h_scores-MWCS;backes;0;1;3917;133310;3916;1206;0;3912;133290;3911;1201;0;0.004;699.353515;699.353515;0.000000;3917;3917;0;0.000;0.000;0.000;0.000;0.000;49.101;0;699.353515;699.353515;0.000000;5863;245;5;3110;33;19583;46078;516;0.851;0.002;20.219;50.119;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
HT116_8h_scores-MWCS;backes;0;1;3917;133310;3916;1221;0;3913;133293;3912;1217;0;0.004;589.944740;589.944740;0.000000;3917;3917;0;0.000;0.000;0.000;0.000;0.000;46.008;0;589.944740;589.944740;0.000000;5754;220;4;2640;47;12023;43974;254;0.836;0.002;6.537;47.009;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
HT-29_24h_scores-MWCS;backes;0;1;3917;133310;3916;1059;0;3913;133270;3912;1055;0;0.004;504.335265;504.335265;0.000000;3917;3917;0;0.000;0.000;0.000;0.000;0.000;42.284;0;504.335265;504.335265;0.000000;6922;353;14;2719;27;26336;46676;404;0.796;0.002;2.969;43.245;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
HT-29_8h_scores-MWCS;backes;0;1;3917;133310;3915;880;0;3913;133270;3911;876;0;0.004;361.543815;361.543815;0.000000;3917;3917;0;0.000;0.000;0.000;0.000;0.000;40.983;0;361.543815;361.543815;0.000000;4191;255;4;1123;16;13872;47503;115;0.725;0.002;5.311;41.875;0;1;1;0.005000;10;10;1;10;0;0;1;1;1;1;1;1;1;1;1
