name;n;m;lb;ub;bbnodes;valid;time
drosophila0075pc-r1-d0.75-a0.25;5226;163439;7938.854866;7938.854866;0;1;460.549
drosophila0075pc-r1-d0.75-a0.50;5226;163439;7586.747887;7586.747887;4;1;535.234
drosophila0075pc-r1-d1.00-a0.10;5226;186788;8011.781733;8011.781733;0;1;382.814
drosophila0075pc-r1-d1.00-a0.25;5226;186788;7920.661324;7920.661324;3;1;734.609
drosophila0075pc-r1-d1.00-a0.50;5226;186788;7552.853034;7552.853034;0;1;359.887
handsi01-r0-d0.25-a0.10;39600;98380;295.496416;295.496416;0;1;234.840
handsi01-r0-d0.25-a0.25;39600;98380;295.493274;295.493274;0;1;226.088
handsi01-r0-d0.25-a0.50;39600;98380;295.457841;295.457841;0;1;302.869
handsi01-r0-d0.50-a0.10;39600;118056;295.493244;295.493244;0;1;254.390
handsi01-r0-d0.50-a0.25;39600;118056;295.485979;295.485979;0;1;318.434
handsi01-r0-d0.50-a0.50;39600;118056;295.368402;295.368402;0;1;512.877
handsi01-r0-d0.75-a0.10;39600;137732;295.449514;295.449514;0;1;394.324
handsi01-r0-d0.75-a0.25;39600;137732;295.410793;295.410793;0;1;485.893
handsi01-r0-d0.75-a0.50;39600;137732;295.289319;295.289319;0;1;599.171
handsi01-r0-d1.00-a0.10;39600;157408;295.418882;295.418882;0;1;451.063
handsi01-r0-d1.00-a0.25;39600;157408;295.359601;295.359601;0;1;522.672
handsi01-r0-d1.00-a0.50;39600;157408;295.154126;295.154126;0;1;1746.998
handsi01-r1-d0.25-a0.10;39600;98380;295.963331;295.963331;0;1;203.935
handsi01-r1-d0.25-a0.25;39600;98380;295.963331;295.963331;0;1;174.732
handsi01-r1-d0.25-a0.50;39600;98380;295.963331;295.963331;0;1;309.031
handsi01-r1-d0.50-a0.10;39600;118056;295.978927;295.978927;0;1;355.086
handsi01-r1-d0.50-a0.25;39600;118056;295.978927;295.978927;0;1;313.073
handsi01-r1-d0.50-a0.50;39600;118056;295.978927;295.978927;0;1;398.813
handsi01-r1-d0.75-a0.10;39600;137732;295.972651;295.972651;0;1;444.640
handsi01-r1-d0.75-a0.25;39600;137732;295.972651;295.972651;0;1;376.216
handsi01-r1-d0.75-a0.50;39600;137732;295.972651;295.972651;0;1;814.303
handsi01-r1-d1.00-a0.10;39600;157408;295.971973;295.971973;0;1;359.070
handsi01-r1-d1.00-a0.25;39600;157408;295.971973;295.971973;0;1;528.546
handsi01-r1-d1.00-a0.50;39600;157408;295.971973;295.971973;0;1;1900.365
handsi02-r0-d0.25-a0.10;39600;98380;206.650782;226.164554;0;1;3600.815
handsi02-r0-d0.25-a0.25;39600;98380;204.972517;223.317386;0;1;3600.805
handsi02-r0-d0.25-a0.50;39600;98380;200.363044;219.780432;0;1;3630.982
handsi02-r0-d0.50-a0.10;39600;118056;150.193938;160.300580;0;1;3601.069
handsi02-r0-d0.50-a0.25;39600;118056;148.897804;158.969194;0;1;3600.860
handsi02-r0-d0.50-a0.50;39600;118056;145.092182;153.088210;0;1;3722.871
handsi02-r0-d0.75-a0.10;39600;137732;134.484681;137.914786;0;1;3601.177
handsi02-r0-d0.75-a0.25;39600;137732;132.079966;136.370075;0;1;3600.952
handsi02-r0-d0.75-a0.50;39600;137732;127.400696;132.401115;0;1;3601.020
handsi02-r0-d1.00-a0.10;39600;157408;123.244140;125.124618;0;1;3601.327
handsi02-r0-d1.00-a0.25;39600;157408;121.760921;122.995021;0;1;3721.263
handsi02-r0-d1.00-a0.50;39600;157408;116.180083;119.298359;0;1;3900.193
handsi02-r1-d0.25-a0.10;39600;98380;208.209062;226.888021;0;1;3600.832
handsi02-r1-d0.25-a0.25;39600;98380;210.899187;224.464351;0;1;3754.969
handsi02-r1-d0.25-a0.50;39600;98380;201.467523;222.869707;0;1;3600.887
handsi02-r1-d0.50-a0.10;39600;118056;151.843473;158.250620;0;1;3600.923
handsi02-r1-d0.50-a0.25;39600;118056;151.171941;156.847881;0;1;3600.753
handsi02-r1-d0.50-a0.50;39600;118056;147.929928;153.051513;0;1;3600.777
handsi02-r1-d0.75-a0.10;39600;137732;134.429432;138.181127;0;1;3601.009
handsi02-r1-d0.75-a0.25;39600;137732;133.654537;136.546504;0;1;3604.450
handsi02-r1-d0.75-a0.50;39600;137732;128.145626;132.695367;0;1;3600.926
handsi02-r1-d1.00-a0.10;39600;157408;124.399822;124.399822;0;1;2782.848
handsi02-r1-d1.00-a0.25;39600;157408;121.644204;123.305188;0;1;3601.132
handsi02-r1-d1.00-a0.50;39600;157408;116.836354;119.038141;0;1;3600.913
handsi03-r0-d0.25-a0.10;39600;98380;56.217041;56.217041;0;1;254.764
handsi03-r0-d0.25-a0.25;39600;98380;56.216220;56.216220;0;1;255.748
handsi03-r0-d0.25-a0.50;39600;98380;56.214264;56.214264;0;1;467.875
handsi03-r0-d0.50-a0.10;39600;118056;56.206045;56.206045;0;1;343.046
handsi03-r0-d0.50-a0.25;39600;118056;56.204931;56.204931;0;1;434.516
handsi03-r0-d0.50-a0.50;39600;118056;56.202489;56.202489;0;1;461.780
handsi03-r0-d0.75-a0.10;39600;137732;56.173330;56.173330;0;1;487.286
handsi03-r0-d0.75-a0.25;39600;137732;56.170415;56.170415;0;1;546.532
handsi03-r0-d0.75-a0.50;39600;137732;56.157744;56.157744;0;1;730.797
handsi03-r0-d1.00-a0.10;39600;157408;56.146719;56.146719;0;1;656.633
handsi03-r0-d1.00-a0.25;39600;157408;56.137295;56.137295;0;1;702.976
handsi03-r0-d1.00-a0.50;39600;157408;56.110715;56.110715;0;1;1311.005
handsi03-r1-d0.25-a0.10;39600;98380;56.270792;56.270792;0;1;181.432
handsi03-r1-d0.25-a0.25;39600;98380;56.270792;56.270792;0;1;321.164
handsi03-r1-d0.25-a0.50;39600;98380;56.270792;56.270792;0;1;386.045
handsi03-r1-d0.50-a0.10;39600;118056;56.273148;56.273148;0;1;417.586
handsi03-r1-d0.50-a0.25;39600;118056;56.273148;56.273148;0;1;411.380
handsi03-r1-d0.50-a0.50;39600;118056;56.273148;56.273148;0;1;454.096
handsi03-r1-d0.75-a0.10;39600;137732;56.273101;56.273101;0;1;518.739
handsi03-r1-d0.75-a0.25;39600;137732;56.273101;56.273101;0;1;524.194
handsi03-r1-d0.75-a0.50;39600;137732;56.272523;56.272523;0;1;666.876
handsi03-r1-d1.00-a0.10;39600;157408;56.272141;56.272141;0;1;784.859
handsi03-r1-d1.00-a0.25;39600;157408;56.272141;56.272141;0;1;812.348
