name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
i640-223;i640;1;0;640;408960;50;43;0;640;408960;43;43;0;1.414;9208.000000;9217.000000;0.097646;43;8;1;53.000;433.000;0.000;0.000;43.000;3.735;8;9210.000000;9210.000000;0.000000;143;0;0;63;4;164;5546;3657;4.779;0.030;10.455;10.487;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-224;i640;1;0;640;408960;49;42;0;640;408960;42;42;0;1.375;8865.000000;8893.000000;0.314854;42;7;1;176.000;8328.000;0.000;0.000;42.000;3.431;11;8870.000000;8870.000000;0.000000;82;1;2;88;11;949;5458;25478;8.364;0.075;13.913;13.971;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-225;i640;1;0;640;408960;49;38;0;640;408960;38;38;0;1.922;8386.000000;8386.000000;0.000000;38;7;0;0.000;0.000;0.000;0.000;0.000;0.884;0;8386.000000;8386.000000;0.000000;151;1;4;152;9;37;5819;0;5.733;0.002;2.897;8.924;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-231;i640;1;0;640;2560;50;46;0;640;2560;46;46;0;0.000;14104.000000;14434.000000;2.286269;46;14;1;493.000;2258.000;20.000;20.000;26.000;0.041;424;14279.000000;14279.000000;0.000000;3233;12110;316;143;50;332;4729;34084;0.085;0.006;2.151;2.173;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-232;i640;1;0;640;2560;50;44;0;640;2560;44;44;0;0.000;13344.000000;13579.000000;1.730613;44;13;1;484.000;1959.000;19.000;19.000;25.000;0.041;33;13526.000000;13526.000000;0.000000;584;2404;34;50;32;69;4985;4843;0.088;0.006;0.294;0.329;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-233;i640;1;0;640;2560;49;41;0;640;2560;41;41;0;0.000;12831.000000;12993.000000;1.246825;41;12;1;395.000;1387.000;16.000;16.000;25.000;0.031;40;12948.000000;12948.000000;0.000000;450;1903;27;61;21;17;4931;2952;0.074;0.011;0.229;0.231;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-234;i640;1;0;640;2560;50;43;0;640;2560;43;43;0;0.000;13630.000000;13658.000000;0.205008;43;13;1;117.000;246.000;3.000;3.000;37.000;0.014;2;13645.000000;13645.000000;0.000000;422;884;36;52;20;13;5078;1089;0.090;0.004;0.116;0.117;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-235;i640;1;0;640;2560;50;35;0;640;2560;35;35;0;0.000;12552.000000;12659.000000;0.845248;35;11;1;235.000;729.000;7.000;7.000;28.000;0.022;12;12650.000000;12650.000000;0.000000;327;1010;17;66;28;13;5226;903;0.071;0.001;0.111;0.111;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-241;i640;1;0;640;81792;50;45;0;640;81792;45;45;0;0.611;9602.000000;9775.000000;1.769821;45;9;1;639.000;81204.000;11.000;11.000;34.000;2.244;9927;9716.000000;9716.000000;0.000000;2610;395;167;917;158;79410;6539;4748587;2.271;0.001;386.122;405.440;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
i640-242;i640;1;0;640;81792;50;43;0;640;81792;43;43;0;0.611;9145.000000;9334.000000;2.024855;43;8;1;640.000;80728.000;6.000;6.000;37.000;2.268;2098;9250.000000;9250.000000;0.000000;678;95;31;594;94;31411;5286;1986446;2.402;0.001;154.173;154.437;0;1;1;0.050000;10;10;1;10;1;0;1;1;1;1;1;1;1;1;1
