name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
a14000RandGraph.3;random;0;0;14000;223738;14000;9274;0;4992;28216;266;266;0;3.514;11776.894300;11776.894300;0.000000;266;1;0;0.000;0.000;0.000;0.000;0.000;0.002;0;11776.894300;11776.894300;0.000000;2381;1036;9235;185;3;10640;47992;0;0.503;1.180;3.752;5.473;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1400RandGraph.1.2;random;0;0;1400;22384;1400;225;0;1313;21453;138;138;0;0.016;810.523485;810.652581;0.015925;138;124;1;235.000;509.000;72.000;72.000;28.000;0.049;5;810.633664;810.633664;0.000000;808;245;157;343;19;1186;10525;2263;0.200;0.008;0.301;0.303;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1400RandGraph.1.5;random;0;0;1400;22452;1400;447;0;1073;14479;120;120;0;0.027;938.932467;938.932467;0.000000;120;40;0;0.000;0.000;0.000;0.000;0.000;0.006;0;938.932467;938.932467;0.000000;327;226;367;329;23;1503;9658;45;0.069;0.010;0.069;0.139;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1400RandGraph.2;random;0;0;1400;22200;1400;679;0;784;7737;63;63;0;0.029;1051.010742;1051.010742;0.000000;63;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;1051.010742;1051.010742;0.000000;374;320;708;42;1;1191;6665;0;0.073;0.009;0.054;0.137;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1400RandGraph.3;random;0;0;1400;22526;1400;924;0;496;2714;20;20;0;0.044;1158.955344;1158.955344;0.000000;20;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;1158.955344;1158.955344;0.000000;183;207;932;23;1;1117;4766;0;0.036;0.016;0.096;0.151;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1600RandGraph.1.2;random;0;0;1600;25738;1600;270;0;1488;24740;158;158;0;0.020;943.510644;943.735583;0.023835;158;145;1;351.000;873.000;105.000;105.000;17.000;0.058;6;943.735583;943.735583;0.000000;1327;501;321;445;21;1215;12384;3162;0.212;0.027;0.283;0.353;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1600RandGraph.1.5;random;0;0;1600;25478;1600;513;0;1188;15171;101;101;0;0.038;1078.729093;1078.797307;0.006323;101;11;1;176.000;270.000;33.000;33.000;46.000;0.023;2;1078.797307;1078.797307;0.000000;461;410;499;139;4;1814;9909;1564;0.134;0.007;0.066;0.232;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1600RandGraph.2;random;0;0;1600;25558;1600;768;0;889;8087;57;57;0;0.045;1217.051991;1217.051991;0.000000;57;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;1217.051991;1217.051991;0.000000;373;265;817;52;0;1683;7844;0;0.065;0.020;0.072;0.158;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1600RandGraph.3;random;0;0;1600;25926;1600;1076;0;545;2835;21;21;0;0.049;1351.983774;1351.983774;0.000000;21;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;1351.983774;1351.983774;0.000000;183;178;1078;26;1;1263;5370;0;0.037;0.024;0.075;0.138;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1800RandGraph.1.2;random;0;0;1800;28946;1800;310;0;1656;27425;166;166;0;0.023;1061.391830;1061.393585;0.000165;166;149;1;117.000;176.000;11.000;11.000;55.000;0.068;2;1061.393585;1061.393585;0.000000;371;206;195;545;61;1752;14054;2179;0.220;0.003;0.292;0.365;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1800RandGraph.1.5;random;0;0;1800;28444;1800;611;0;1311;16736;122;122;0;0.041;1218.777781;1218.777781;0.000000;122;13;0;0.000;0.000;0.000;0.000;0.000;0.003;0;1218.777781;1218.777781;0.000000;483;402;663;135;5;1720;10722;0;0.176;0.007;0.090;0.274;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1800RandGraph.2;random;0;0;1800;28658;1800;891;0;974;8874;65;65;0;0.054;1364.892755;1364.892755;0.000000;65;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;1364.892755;1364.892755;0.000000;402;334;880;48;2;1866;8586;0;0.065;0.014;0.082;0.163;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a1800RandGraph.3;random;0;0;1800;29062;1800;1192;0;638;3482;30;30;0;0.052;1507.266194;1507.266194;0.000000;30;1;0;0.000;0.000;0.000;0.000;0.000;0.000;0;1507.266194;1507.266194;0.000000;309;178;1214;38;3;1366;5999;0;0.041;0.038;0.079;0.160;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a2000RandGraph.1.2;random;0;0;2000;32016;2000;313;0;1875;31104;188;188;0;0.024;1151.927119;1152.002136;0.006512;188;173;1;249.000;499.000;68.000;68.000;46.000;0.079;25;1151.953272;1151.953272;0.000000;481;228;223;438;31;1072;15729;2819;0.286;0.002;0.456;0.459;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
a2000RandGraph.1.5;random;0;0;2000;31670;2000;625;0;1524;20560;149;149;0;0.053;1330.773629;1330.773629;0.000000;149;34;0;0.000;0.000;0.000;0.000;0.000;0.007;0;1330.773629;1330.773629;0.000000;417;261;511;420;33;1949;11749;0;0.286;0.009;0.089;0.389;0;1;1;0.005000;10;10;1;1;0;0;1;1;1;1;1;1;1;1;1
