name;class;int;asym;n;m;t;tr;f1;pn;pm;pt;ptr;pf1;ptime;rootlb;rootub;rootgap;roots;proots;oroots;avgn;avgm;avgt;avgtr;avgf1;roottime;bbnodes;lb;ub;gap;d1;d2;ma;ms;ss;lc;nr;boundbased;heurtime;heurbbtime;timeBest;time;memout;p_supportg;p_heurbb;p_heureps;p_heurroots;p_heurbbtimelim;p_perturbheur;p_strongbounds;p_nodeselect;p_branchtype;p_guide;p_d1;p_d2;p_ma;p_ms;p_ss;p_lc;p_nr;p_boundbased
a0800RandGraph.3;random;0;0;800;12770;800;535;0;290;1555;25;25;0;0.012;0.000000;663.783974;100.000000;0;0;1270210808;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;663.783974;100.000000;0;0;510;0;0;663;0;0;0.002;0.000;0.061;0.062;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a10000RandGraph.1.2;random;0;0;10000;160596;10000;1668;0;9228;157688;896;896;0;0.141;0.000000;5930.702972;100.000000;0;0;284223756;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;5930.702972;100.000000;0;0;772;0;0;976;0;0;0.317;0.000;0.476;0.642;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a10000RandGraph.1.5;random;0;0;10000;160576;10000;3370;0;7302;97988;672;672;0;1.165;0.000000;6781.928503;100.000000;0;0;-954650971;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;6781.928503;100.000000;0;0;2698;0;0;7502;0;0;0.096;0.000;1.352;1.418;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a10000RandGraph.2;random;0;0;10000;159816;10000;5017;0;5335;47610;352;352;0;1.864;0.000000;7598.502395;100.000000;0;0;203959407;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;7598.502395;100.000000;0;0;4665;0;0;9410;0;0;0.050;0.000;2.000;2.042;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a10000RandGraph.3;random;0;0;10000;159556;10000;6679;0;3511;19664;190;190;0;2.288;0.000000;8423.650472;100.000000;0;0;-852671267;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;8423.650472;100.000000;0;0;6489;0;0;7134;0;0;0.032;0.000;2.490;2.514;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1000RandGraph.1.2;random;0;0;1000;16134;1000;164;0;933;15285;97;97;0;0.011;0.000000;580.850980;100.000000;0;0;-97581657;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;580.850980;100.000000;0;0;67;0;0;571;0;0;0.016;0.000;0.102;0.106;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1000RandGraph.1.5;random;0;0;1000;15736;1000;320;0;757;9922;77;77;0;0.016;0.000000;674.870772;100.000000;0;0;694066715;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;674.870772;100.000000;0;0;243;0;0;978;0;0;0.007;0.000;0.099;0.102;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1000RandGraph.2;random;0;0;1000;16402;1000;490;0;550;5057;40;40;0;0.019;0.000000;753.530347;100.000000;0;0;-275702541;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;753.530347;100.000000;0;0;450;0;0;1035;0;0;0.004;0.000;0.125;0.126;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1000RandGraph.3;random;0;0;1000;16214;1000;650;0;368;2222;18;18;0;0.021;0.000000;831.582177;100.000000;0;0;1282030558;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;831.582177;100.000000;0;0;632;0;0;720;0;0;0.003;0.000;0.100;0.101;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a12000RandGraph.1.2;random;0;0;12000;192186;12000;2038;0;11094;188876;1132;1132;0;0.182;0.000000;7080.533388;100.000000;0;0;1348551011;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;7080.533388;100.000000;0;0;906;0;0;1040;0;0;0.408;0.000;0.457;0.788;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a12000RandGraph.1.5;random;0;0;12000;192782;12000;3986;0;8788;115307;774;774;0;1.870;0.000000;8090.233888;100.000000;0;0;-1133871366;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;8090.233888;100.000000;0;0;3212;0;0;9855;0;0;0.115;0.000;2.137;2.149;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a12000RandGraph.2;random;0;0;12000;191974;12000;6001;0;6385;55848;386;386;0;2.979;0.000000;9067.090950;100.000000;0;0;1133871366;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;9067.090950;100.000000;0;0;5615;0;0;12060;0;0;0.060;0.000;3.190;3.239;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a12000RandGraph.3;random;0;0;12000;192898;12000;7930;0;4305;23904;234;234;0;2.683;0.000000;10062.890967;100.000000;0;0;85487029;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;10062.890967;100.000000;0;0;7695;0;0;9536;0;0;0.040;0.000;2.898;2.929;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1200RandGraph.1.2;random;0;0;1200;18896;1200;182;0;1142;18285;124;124;0;0.013;0.000000;706.007975;100.000000;0;0;-1825739058;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;706.007975;100.000000;0;0;58;0;0;463;0;0;0.023;0.000;0.107;0.114;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1200RandGraph.1.5;random;0;0;1200;19250;1200;402;0;879;11382;81;81;0;0.021;0.000000;811.023221;100.000000;0;0;209731843;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;811.023221;100.000000;0;0;321;0;0;1140;0;0;0.009;0.000;0.105;0.109;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1200RandGraph.2;random;0;0;1200;19092;1200;586;0;678;6340;64;64;0;0.027;0.000000;906.971626;100.000000;0;0;-1959329721;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;906.971626;100.000000;0;0;522;0;0;1284;0;0;0.005;0.000;0.108;0.110;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a1200RandGraph.3;random;0;0;1200;18902;1200;810;0;420;2027;30;30;0;0.024;0.000000;1012.466046;100.000000;0;0;76416058;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;1012.466046;100.000000;0;0;780;0;0;1069;0;0;0.003;0.000;0.109;0.112;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a14000RandGraph.1.2;random;0;0;14000;224032;14000;2301;0;12940;220532;1241;1241;0;0.209;0.000000;8278.288056;100.000000;0;0;-1935140465;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;8278.288056;100.000000;0;0;1060;0;0;1020;0;0;0.493;0.000;0.819;0.922;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a14000RandGraph.1.5;random;0;0;14000;224456;14000;4687;0;10223;135505;910;910;0;2.424;0.000000;9483.534868;100.000000;0;0;-104453605;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;9483.534868;100.000000;0;0;3777;0;0;10727;0;0;0.144;0.000;2.878;2.892;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a14000RandGraph.2;random;0;0;14000;224738;14000;6998;0;7475;66356;473;473;0;3.783;0.000000;10642.936373;100.000000;0;0;230347686;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;10642.936373;100.000000;0;0;6525;0;0;12762;0;0;0.074;0.000;4.062;4.123;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
a14000RandGraph.3;random;0;0;14000;223738;14000;9274;0;4992;28216;266;266;0;3.467;0.000000;11777.458768;100.000000;0;0;2020352616;-1.000;-1.000;-1.000;-1.000;-1.000;0.000;0;0.000000;11777.458768;100.000000;0;0;9008;0;0;10624;0;0;0.050;0.000;3.732;3.768;0;0;0;0.000000;10;10;0;10;0;0;1;1;1;1;1;1;1;1;1
